Year,Neighborhood,Case_Count,Median_Latitude,Median_Longitude
2008,Tenderloin,648,37.78388977,-122.41439819
2008,Treasure Island,1,37.82487488,-122.36978912
2008,Union Street,269,37.79869461,-122.42919159
2008,University Mound,59,37.72804642,-122.419487
2008,Upper Market,65,37.75107193,-122.44334412
2008,Visitacion Valley,221,37.7113266,-122.41223145
2008,West Portal,29,37.74142456,-122.46916199
2008,Western Addition,238,37.778533935,-122.43870544
2008,Westwood Highlands,4,37.73265648,-122.45515442
2008,Westwood Park,17,37.72758865,-122.45822144
2008,Yerba Buena Island,1,37.81322479,-122.37103271
2009,Alamo Square,173,37.77541733,-122.43564606
2009,Anza Vista,53,37.78131104,-122.44008636
2009,Apparel City,87,37.73899078,-122.4050293
2009,Aquatic Park / Ft. Mason,41,37.80567932,-122.4220047
2009,Ashbury Heights,62,37.76402664,-122.44931030500001
2009,Balboa Terrace,11,37.73078537,-122.46657562
2009,Bayview,1446,37.7318573,-122.38885498
2009,Bernal Heights,986,37.742753985,-122.418621065
2009,Bret Harte,412,37.720178605,-122.39149475
2009,Buena Vista,174,37.770414349999996,-122.44029617
2009,Candlestick Point SRA,18,37.71116257,-122.38645172
2009,Castro,459,37.76200485,-122.43458557
2009,Cathedral Hill,260,37.785490034999995,-122.42302704
2009,Cayuga,453,37.72052765,-122.44047546
2009,Central Waterfront,218,37.751543045000005,-122.38973236
2009,Chinatown,324,37.79421997,-122.406261445
2009,Civic Center,640,37.77856827,-122.41855621
2009,Clarendon Heights,66,37.75675201,-122.44506073
2009,Cole Valley,146,37.767692565,-122.45001984
2009,Corona Heights,94,37.76467514,-122.43607711499999
2009,Cow Hollow,79,37.79832458,-122.44264984
2009,Crocker Amazon,384,37.71281433,-122.43940735
2009,Diamond Heights,37,37.74281693,-122.43865967
2009,Dogpatch,101,37.76036072,-122.38925171
2009,Dolores Heights,505,37.75502777,-122.42466736
2009,Downtown / Union Square,283,37.78777313,-122.40591431
2009,Duboce Triangle,844,37.77035141,-122.4302597
2009,Eureka Valley,276,37.75981712,-122.43991852
2009,Excelsior,1198,37.721431734999996,-122.4328537
2009,Fairmount,101,37.73962784,-122.42715454
2009,Financial District,166,37.791490555,-122.40048218
2009,Fisherman's Wharf,59,37.80613327,-122.41409302
2009,Forest Hill,33,37.74882889,-122.46349335
2009,Forest Knolls,42,37.75521851,-122.459228515
2009,Glen Park,129,37.73457718,-122.43473816
2009,Golden Gate Heights,283,37.7543335,-122.47325897
2009,Golden Gate Park,267,37.77217865,-122.48475647
2009,Haight Ashbury,363,37.77021027,-122.44876862
2009,Hayes Valley,412,37.77583313,-122.42706298499999
2009,Holly Park,326,37.73740768,-122.4237442
2009,Hunters Point,341,37.7278595,-122.38200378
2009,India Basin,47,37.73335648,-122.37582397
2009,Ingleside,346,37.72184372,-122.45802307
2009,Ingleside Terraces,47,37.72505951,-122.46421814
2009,Inner Richmond,1387,37.78097153,-122.46884155
2009,Inner Sunset,404,37.763912205,-122.46652985
2009,Japantown,73,37.78639221,-122.43091583
2009,Laguna Honda,24,37.743412015000004,-122.457660675
2009,Lake Street,102,37.785085679999995,-122.48176575
2009,Lakeshore,52,37.72973442,-122.49427795
2009,Laurel Heights / Jordan Park,94,37.78395081,-122.4521637
2009,Lincoln Park / Ft. Miley,5,37.77841568,-122.51443481
2009,Little Hollywood,72,37.71218109,-122.40001678
2009,Lone Mountain,240,37.77765274,-122.45284271
2009,Lower Haight,977,37.77241898,-122.43043518
2009,Lower Nob Hill,1119,37.78794861,-122.41665649
2009,Lower Pacific Heights,265,37.78607941,-122.44153595
2009,Marina,372,37.80121613,-122.43727112
2009,McLaren Park,31,37.72145844,-122.41246796
